"","model","logLik","k","se","EIC","delta","weight","param","param_value","pillai","pvalue"
"1","BM_null",-16681.5451594436,8,3.77790526894246,33547.2990623888,2495.83108809656,0,NA,NA,NA,NA
"2","BM_morpho",-16479.0133303091,8,2.73814762264554,33221.5913751084,2170.12340081621,0,NA,NA,NA,NA
"3","LAM_null",-15474.0402655163,8,1.55360091680224,31062.2375173479,10.7695430557033,0.00456495358459427,"lambda",0.513502522872344,NA,NA
"4","LAM_morpho",-15408.3360520845,8,2.13488977394639,31051.4679742922,0,0.995435046415406,"lambda",0.497411061445957,0.356172004857375,0.001
"5","OU_null",-15608.7439125024,8,1.7697285640664,31330.9862429715,279.518268679294,2.00166819058078e-61,"alpha",0.575964914907973,NA,NA
"6","OU_morpho",-15499.6191009271,8,2.16309872143253,31234.4081575388,182.940183246592,1.87524007581828e-40,"alpha",0.70799718185441,NA,NA
"7","EB_null",-16681.5449887971,8,7.48301701042812,33619.7523292714,2568.28435497915,0,"a",0,NA,NA
"8","EB_morpho",-16479.0133057878,8,5.07328334145293,33293.2809170567,2241.81294276449,0,"a",0,NA,NA
