"species","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd","PC6_mean","PC6_sd","PC7_mean","PC7_sd","PC8_mean","PC8_sd"
"Abudefduf_abdominalis",-50.4859675193095,58.6737732047367,-111.29079508293,34.7915912204216,-52.9140872039852,34.4338507479382,-8.02081124252794,46.1270346399415,-41.7606627388026,36.3558472049884,93.3524763243316,21.8854126936052,-5.21718027575767,5.52560535740199,85.6418449032329,35.9183680780326
"Abudefduf_bengalensis",-64.2969770871967,64.4450040097469,-48.9454716550458,44.0641962070307,29.7591032036416,61.9625818236354,-70.2586513450348,38.5562733421339,-82.5998842528666,90.5122971184505,8.37507570466944,53.3557711940637,-14.1181081103903,24.6437367879452,21.9349568360745,63.9816424306182
"Abudefduf_caudobimaculatus",-56.1331626024344,20.7622958011134,-98.7081440284718,2.42352434823895,-121.942595343517,5.58793787949092,19.5591862052411,10.4577040750544,15.7882069611793,11.7124242352791,55.392883890645,23.3534696364296,3.37649506228973,9.70166868581335,0.961383389165006,1.12573886659598
"Abudefduf_concolor",-13.9717799096784,80.1423657013643,-30.2351196700484,51.6739392660357,-43.1838791572524,19.8971201169366,29.3638993999623,36.0051419044012,-79.8361903671206,94.7924291713293,35.0046726648289,17.776813028858,44.1520399334891,15.7534200077285,21.3972617524286,42.2440137833064
"Abudefduf_conformis",20.7324210808604,115.483176701862,-115.043407782554,90.7587286748188,-70.056848368825,11.3446095217952,47.6779572875782,57.4128483992407,-2.69427058752564,53.0194730503911,-5.38798784235744,41.3849101762591,8.13613364145965,18.8334992690807,0.525806983254191,53.2556960801768
"Abudefduf_declivifrons",26.1968582535693,49.688946206876,-41.1010479032478,128.108295594341,-14.3485893134674,53.635244000767,7.02857956001047,29.9523801248057,-35.8151644088698,1.3618340397176,14.3650989210291,0.000675701620100898,21.5097607192525,0.864984971958871,1.50154921970455,77.0687246246904
"Abudefduf_hoefleri",303.300262843493,9.7227729336792,-196.283140554345,68.7758773837389,-75.0870191051618,11.9996395691522,-49.5186107285877,36.8960537307542,3.04003476625246,20.1066380801609,-27.4394555162539,41.1015889678718,20.8247199371939,7.15950609657731,-34.9950745061982,27.714855792785
"Abudefduf_lorenzi",-131.927066972929,85.8225067929962,-21.3256099696668,20.2362997515377,-8.24465881588763,19.6122727825555,8.67972852659772,38.0746654092605,13.9399541213327,27.0083849038242,71.3317242312452,12.9003407389719,22.7397326555538,17.3688969075262,-31.3211938582046,12.0106480897258
"Abudefduf_margariteus",-40.7463974876901,52.2387063743862,-169.165576911038,119.920405665125,84.9154360170445,121.146197717687,19.8210855958847,49.6860514779011,-47.5591982546412,134.35203771799,57.5492085514406,67.8405141505139,-23.8409470549654,27.1826374987495,49.0188015473772,127.446276501486
"Abudefduf_natalensis",-83.3368991845998,153.626343368304,-114.573999787908,91.2175190751099,173.299955132914,136.543278807743,54.4584005032044,75.0820198712637,-137.639656729594,73.4535296811564,17.4089441084561,48.5737788864416,5.38831496035699,43.9276202818399,-26.2876677749857,32.2747083502159
"Abudefduf_nigrimargo",-80.143662968984,71.9911342218755,-56.9002554209315,45.8268816884647,94.5545278300473,174.221014487895,59.1637281115915,27.4605271441658,6.23480023499949,74.647816137524,32.4702698702392,71.1675499418931,-41.0595375183087,21.2438753349414,-88.4754011384481,54.017878387492
"Abudefduf_notatus",54.7269077463183,121.902546386361,-3.22769086753226,41.0783766310634,76.0088242682548,24.1806465181737,14.8019435697763,15.3255824376284,-23.758428367296,9.21912976394485,-4.39776815458415,42.8693749583614,-38.319551186223,36.0853734304296,69.7760432835464,10.0316309128654
"Abudefduf_saxatilis",-193.856518509984,80.9931548392546,-81.2940100775707,15.5784989037679,4.20616441260511,46.9450714026842,-1.86587546767118,27.122409604089,-10.7156058729266,30.9521789190338,15.0224593807374,12.026272889911,3.60610024778418,9.7150077476308,0.152157406321724,21.0893382925971
"Abudefduf_septemfasciatus",-183.772652657934,50.9932960863475,-63.7999117773644,44.1830568218734,-13.0148148606678,62.3444124763282,-18.8632562730641,48.3596157617929,-53.0396787370665,54.2745455954188,-0.498293433619763,28.702102072588,47.238517800365,12.6316427109482,52.9810170519855,20.7896619022224
"Abudefduf_sexfasciatus",-134.688763085576,190.512347422595,-172.363077990178,64.4221102336225,31.7740647921135,61.1596446712377,64.7403886625342,109.995145351566,-36.849647759694,10.1966388307102,-4.32052470076843,52.1455570881345,-10.3888026610503,24.0342681626687,-29.7863541250884,29.7775269565834
"Abudefduf_sordidus",-155.318737184693,73.6885945515656,-102.276105735914,46.9884972627973,-37.0456847730816,62.6975596124264,-36.5394334079087,24.0036675064756,-29.8790870825622,44.6672568159787,14.4107921768259,13.9712861096209,45.8018722788435,14.1902525449572,37.1991631647149,25.8459932112366
