"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Abudefduf abdominalis_18888231",0.505075379596488,0.181564160618095,0.611419948269927,0.194878671797459,0.0184282313525988,0.225978633735142,0.157622185611623,0.709520102515861,1.40441775383271,14.2443727179567,0.54417931025096,"Abudefduf_abdominalis"
"Abudefduf abdominalis_18888239",0.519716624512439,0.153008062259111,0.468349591875287,0.492990716481412,0.019963730313652,0.267213352302968,0.0493018388685353,0.69339093908073,1.26948363616248,15.0994053626226,0.543711722709339,"Abudefduf_abdominalis"
"Abudefduf bengalensis_4977187",0.585152960096596,0.134088622751497,0.410448103334215,0.461688014213934,0.0194464510767308,0.225206544791078,0.0765281452071798,0.662017012657062,1.27377737210064,16.4071709611424,0.523906419955587,"Abudefduf_bengalensis"
"Abudefduf bengalensis_6846535",0.586120483720808,0.183908073000594,0.592493540781435,0.248741613170557,0.0112925930545666,0.260602674181663,0.0835965997089369,0.660690489602164,1.20157662293065,22.2323940545386,0.522635034680457,"Abudefduf_bengalensis"
"Abudefduf caudobimaculatus_1",0.480544349872971,0.163540447498719,0.507201420089228,0.445893601188703,0.0232733525086169,0.231751481830635,0.123181539445063,0.729407925308411,1.20261222210119,12.7436111448634,0.547681056879884,"Abudefduf_caudobimaculatus"
"Abudefduf concolor_2",0.563066362962248,0.170890916044434,0.441664727808294,0.432305495580468,0.0169599065003296,0.211802848660745,0.070924484191519,0.665242154830344,1.20310633249985,18.3111070412764,0.532266402689966,"Abudefduf_concolor"
"Abudefduf concolor_fb2",0.518620405423739,0.153915932745203,0.401788107367334,0.240226832964516,0.0236593927741402,0.219476483439209,0.0964381973745617,0.741485416232448,1.46016038509832,14.3091506231266,0.528729657211537,"Abudefduf_concolor"
"Abudefduf conformis_1",0.676078446009251,0.212468133153692,0.661182482882849,0.300655718355491,0.021543399022937,0.303246072378644,0.0797718214619556,0.484516434604731,1.23018378892988,13.2240314734692,0.548614265589472,"Abudefduf_conformis"
"Abudefduf conformis_4",0.533059637637864,0.142163671091202,0.431971806151494,0.488249242128233,0.0215406391636928,0.275992856844269,0.0462770565183197,0.708354459170262,1.27924579543099,15.2436773828242,0.537915874082995,"Abudefduf_conformis"
"Abudefduf declivifrons_2",0.549471855641706,0.17782325846782,0.524092784056084,0.320644932934818,0.0171271193378507,0.230577621918178,0.106675957440886,0.609982832187825,1.19979584309371,16.4849357281641,0.538206375559282,"Abudefduf_declivifrons"
"Abudefduf hoefleri_3",0.52270724978568,0.166917025762225,0.538229598456547,0.342415816706829,0.0212217503561115,0.252210304748791,0.101704644907585,0.643494723249821,1.40118104678142,12.1768510937909,0.542901215665664,"Abudefduf_hoefleri"
"Abudefduf hoefleri_6",0.664776095897902,0.222002441652348,0.579599775486803,0.342453377051959,0.0184122915605314,0.297281504398785,0.110936314540805,0.465910365334612,1.10440227659529,13.9727406635288,0.537216308679387,"Abudefduf_hoefleri"
"Abudefduf lorenzi_58404151",0.604514955057041,0.13146488923269,0.310141907368223,0.466019517096472,0.0205624687018885,0.241039738434422,0.165537379829501,0.592785381918471,1.39852831689626,15.0132625818994,0.512962086965913,"Abudefduf_lorenzi"
"Abudefduf lorenzi_fb1",0.560818946989311,0.15909949883061,0.434715269706053,0.460305567629072,0.0215618186816453,0.225858969197756,0.101435565796893,0.646574304533641,1.27423218152615,12.8169739716218,0.531100489520152,"Abudefduf_lorenzi"
"Abudefduf margariteus_3",0.519765906051397,0.15419151300381,0.471378497600496,0.434506804575306,0.018074717488489,0.271338613823534,0.0443162779816284,0.731191242164595,1.27204736206258,14.7159230498149,0.539629293540262,"Abudefduf_margariteus"
"Abudefduf margariteus_5",0.495187166359041,0.197922189482664,0.517286596194875,0.389719697115083,0.0177491646801327,0.260512366709102,0.0523578032258869,0.636024961235888,1.21645491588092,14.6285392820634,0.553026663206236,"Abudefduf_margariteus"
"Abudefduf natalensis_2",0.578403718086132,0.223496961166688,0.482421226096509,0.433518972403617,0.0153320107037199,0.276689078937359,0.092593936800186,0.602938890401646,1.14097123570235,15.902065378104,0.538373104318099,"Abudefduf_natalensis"
"Abudefduf natalensis_5",0.48980189241976,0.180102498249681,0.50819705316796,0.498272559146394,0.0172651837811591,0.211732351379602,0.118317266161023,0.613057741847152,1.15819929126761,16.3768160205571,0.547130531457025,"Abudefduf_natalensis"
